address,hours,city,province,lat,lon
2002 Luxstone Blvd,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Airdrie,Alberta,51.271345600000004,-114.01795265
800 Yankee Valley Blvd SW,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Airdrie,Alberta,51.271118900000005,-114.02596164435552
900 Market St SE,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Airdrie,Alberta,51.270194849999996,-113.9944166
5031 22 Ave SW,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Beaumont,Alberta,,
3504 Ewing Trail,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Beaumont,Alberta,,
6975 Ellerslie Road SW,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Beaumont,Alberta,,
389 91st St SW,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Beaumont,Alberta,,
7111 50th Ave,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Blackfalds,Alberta,,
6020 67th St,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Blackfalds,Alberta,,
5925 54th Ave,"[{'day': 'MONDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'TUESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'WEDNESDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'THURSDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'FRIDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SATURDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}, {'day': 'SUNDAY', 'intervals': [{'end': 2359, 'start': 0}], 'isClosed': False}]",Blackfalds,Alberta,,
